Año;Mes;Precipitaciones;ISSP
1960;6;39.4094;0.21321571
1960;7;1.39277;0.165996383
1960;8;0.439357;0.134225618
1960;9;6.72434;0.060653299
1960;10;215.64;1.687108062
1960;11;78.7516;1.970841427
1960;12;80.703;2.210952391
1961;1;41.3787;0.107419864
1961;2;2.26626;-0.359634093
1961;3;37.3491;-0.323179808
1961;4;41.9874;-0.4123128
1961;5;73.5978;-0.081089892
1961;6;14.932;-0.083399229
1961;7;12.066;0.012495764
1961;8;0.967172;-0.014205746
1961;9;49.4341;0.322416178
1961;10;44.8437;0.158697794
1961;11;197.63;1.584166333
1961;12;131.311;2.310328032
1962;1;69.0987;2.51136756
1962;2;35.7175;0.026828872
1962;3;158.229;1.224241192
1962;4;75.1742;1.453841771
1962;5;22.4807;0.012892178
1962;6;33.4678;0.188604878
1962;7;0.444001;0.15688419
1962;8;0.961014;0.130123537
1962;9;25.8305;0.240051122
1962;10;127.152;1.01664702
1962;11;71.6467;1.23214331
1962;12;154.265;2.178760443
1963;1;169.419;3.343298933
1963;2;142.872;4.226654462
1963;3;41.4697;4.302683926
1963;4;84.9003;4.625696179
1963;5;37.9742;0.161695274
1963;6;37.7683;0.378710953
1963;7;9.07045;0.445836002
1963;8;1.79007;0.153811307
1963;9;47.343;0.470349832
1963;10;15.2819;-0.125220452
1963;11;144.593;0.790868684
1963;12;206.26;2.236857614
1964;1;15.7994;-0.138249547
1964;2;143.254;0.748774796
1964;3;92.4213;1.314155008
1964;4;35.127;0.017587685
1964;5;13.5061;-0.228323753
1964;6;28.3946;-0.101335219
1964;7;2.76314;-0.094787009
1964;8;2.47056;-0.107049638
1964;9;11.4025;-0.135691845
1964;10;7.87292;-0.504679343
1964;11;55.4644;-0.444601539
1964;12;66.0242;-0.345469106
1965;1;68.7526;-0.147753602
1965;2;53.8313;-0.119565195
1965;3;63.5948;0.168958759
1965;4;12.6386;-0.202046779
1965;5;7.6321;-0.504373448
1965;6;8.8812;-0.564796043
1965;7;1.72622;-0.568206648
1965;8;2.62778;-0.578959301
1965;9;94.7484;0.19287146
1965;10;106.013;0.766443597
1965;11;91.8981;1.176438936
1965;12;53.4629;0.15110037
1966;1;117.265;0.814739991
1966;2;119.447;1.473116494
1966;3;2.44507;-0.126162435
1966;4;70.7534;0.060979776
1966;5;16.8454;-0.152860266
1966;6;16.5359;-0.139765382
1966;7;0.377185;-0.156132426
1966;8;2.93142;-0.163968851
1966;9;30.5654;-0.008566211
1966;10;81.0839;0.325581184
1966;11;45.2681;0.134759738
1966;12;7.48048;-0.328375022
1967;1;47.9416;-0.330533092
1967;2;75.3501;-0.095673239
1967;3;30.8804;-0.121345819
1967;4;36.9148;-0.259197214
1967;5;37.0758;-0.278739896
1967;6;39.8367;-0.041858833
1967;7;0.533188;-0.056727588
1967;8;0.192151;-0.090872576
1967;9;5.38818;-0.177277679
1967;10;48.2251;-0.158713668
1967;11;98.4312;0.314027049
1967;12;13.7184;-0.230614841
1968;1;2.19889;-0.672096295
1968;2;146.764;0.248638886
1968;3;76.7894;0.663886777
1968;4;53.0726;0.681218565
1968;5;19.5608;-0.015151205
1968;6;16.5113;-0.002292586
1968;7;0.846887;-0.014148505
1968;8;10.3332;0.049103448
1968;9;2.94047;-0.060810019
1968;10;16.9017;-0.343083061
1968;11;111.015;0.250515331
1968;12;79.3873;0.477990014
1969;1;142.189;1.381005395
1969;2;154.132;2.372504522
1969;3;135.738;3.353908166
1969;4;49.4686;0.155327671
1969;5;45.3342;0.21510054
1969;6;22.3533;0.284067055
1969;7;1.89561;0.170825772
1969;8;13.4181;0.263705805
1969;9;58.6655;0.688988193
1969;10;95.1443;1.158174865
1969;11;104.142;1.685763403
1969;12;54.5575;0.161613157
1970;1;248.891;2.089418799
1970;2;11.8446;-0.202451885
1970;3;43.8131;-0.103915875
1970;4;30.5629;-0.302772361
1970;5;30.8341;-0.382261749
1970;6;51.0623;-0.037567472
1970;7;1.81364;-0.040138475
1970;8;0.330926;-0.072950636
1970;9;0.145105;-0.209711423
1970;10;12.2745;-0.536425146
1970;11;43.496;-0.591294577
1970;12;60.8021;-0.542316379
1971;1;105.804;0.011249192
1971;2;8.30751;-0.397783227
1971;3;72.167;-0.026929916
1971;4;132.602;0.754220306
1971;5;120.535;1.536238751
1971;6;27.023;1.650054127
1971;7;6.16778;1.689301273
1971;8;11.9393;1.767978575
1971;9;10.9534;0.139654052
1971;10;4.92936;-0.257604065
1971;11;27.435;-0.46672699
1971;12;45.9378;-0.560508908
1972;1;108.299;0.01701921
1972;2;103.522;0.522448395
1972;3;93.2193;1.09549278
1972;4;21.1423;-0.116724553
1972;5;38.3694;-0.123843206
1972;6;11.3614;-0.160445396
1972;7;5.58961;-0.126751126
1972;8;2.93801;-0.134524259
1972;9;50.013;0.207657552
1972;10;125.755;0.970836344
1972;11;45.1799;0.133912645
1972;12;58.7128;0.162824731
1973;1;59.3636;0.270366145
1973;2;25.9361;-0.067113917
1973;3;47.4596;0.066443909
1973;4;10.7077;-0.323106431
1973;5;69.2008;-0.034113311
1973;6;32.6937;0.134164756
1973;7;0.512554;0.119097827
1973;8;5.37968;0.134775047
1973;9;0.189263;-0.001561637
1973;10;61.2302;0.141906311
1973;11;30.6289;-0.036541673
1973;12;92.9547;0.321237403
1974;1;32.5132;0.022273587
1974;2;62.8709;0.137280367
1974;3;59.4547;0.386041859
1974;4;111.802;0.967424154
1974;5;7.29433;-0.132961171
1974;6;37.6944;0.083344756
1974;7;3.19972;0.094085979
1974;8;4.22625;0.098685396
1974;9;6.19662;0.020044734
1974;10;28.075;-0.154917395
1974;11;21.6937;-0.419181071
1974;12;8.17284;-0.875666248
1975;1;49.714;-0.860801786
1975;2;72.0999;-0.657157592
1975;3;116.175;0.136358554
1975;4;49.3778;0.118204643
1975;5;53.8043;0.259326278
1975;6;29.8709;0.400493532
1975;7;0.468838;0.15712273
1975;8;4.07046;0.160225904
1975;9;4.88465;0.068984784
